NAME,DESCRIPTION
LATANOPROST,For glaucoma (too much pressure in your eyes)
HYDROCORTISONE,"Steroids, to reduce inflammation (sometimes for COPD)"
TERAZOSIN,To reduce swelling in your prostate and help you urinate (use the bathroom)
RANITIDINE,to reduce stomach acid
SIMVASTATIN,for your cholesterol
CIPROFLOXACIN,antibiotic to treat an infection with bacteria
CAPSAICIN,pain relief cream to put on your skin
CLOPIDOGREL,To protect the blood vessels in your heart or brain from clots
BUSPIRONE,To help reduce anxiety or fear
GUAIFENESIN,To help your cough
TIOTROPIUM,Long acting inhaler for asthma or COPD/emphysema to take every day
BACLOFEN,Muscle relaxer
TOPIRAMATE,To prevent seizures (fits) or for nerve pain
DIVALPROEX,To prevent seizures (fits) or for nerve pain
AZITHROMYCIN,antibiotic to treat an infection with bacteria
RISPERIDONE,"antipsychotics, or to help stabilize your mood"
FERROUS SULFATE,"iron supplement, sometimes for anemia or low red blood cell counts"
PREGABALIN,To prevent seizures (fits) or for nerve pain
ARIPIPRAZOLE,"antipsychotics, or to help stabilize your mood"
FOLIC ACID,Vitamin or other supplement
POLYVINYL ALCOHOL/POVIDONE/SODIUM CHLORIDE,"For washing your eyes, or dry eyes"
HYDRALAZINE,For your high blood pressure
POLYETHYLENE GLYCOL 3350,to help with constipation or help you have a bowel movement
POLYVINYL ALCOHOL/SODIUM CHLORIDE,"For washing your eyes, or dry eyes"
SUMATRIPTAN,For migraine headaches
LAMOTRIGINE,To prevent seizures (fits) or for nerve pain
KETOCONAZOLE,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
PAROXETINE,for depression or to help you sleep better
CLOTRIMAZOLE,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
ALPRAZOLAM,Sedative or to reduce anxiety
METRONIDAZOLE,antibiotic to treat an infection with bacteria
SAXAGLIPTIN,for your diabetes (high sugars)
AMOXICILLIN/CLAVULANATE,antibiotic to treat an infection with bacteria
ZOSTER VACCINE,VACCINES
UREA,Moisturizer to help your skin
ISOSORBIDE MONONITRATE,To reduce chest pain or angina
AMITRIPTYLINE,for depression or to help you sleep better
TEMAZEPAM,Sedative or to reduce anxiety
SODIUM CHLORIDE,To clean a wound or your skin
NITROGLYCERIN,To reduce chest pain or angina
AMMONIUM LACTATE,Moisturizer to help your skin
PREDNISOLONE,"Steroids, to reduce inflammation (sometimes for COPD)"
TERBINAFINE,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
SULFAMETHOXAZOLE/TRIMETHOPRIM,antibiotic to treat an infection with bacteria
OXYBUTYNIN CHLORIDE,To help calm the bladder muscle
ESCITALOPRAM,for depression or to help you sleep better
SENNOSIDES,stool softener to make bowel movements easier
CLOBETASOL,For a rash on your skin (reduce irritation or inflammation)
AMOXICILLIN,antibiotic to treat an infection with bacteria
DIPHENHYDRAMINE,"For allergies, antihistamine (sometimes to help with sleep)"
NIFEDIPINE,For your high blood pressure
NICOTINE POLACRILEX,To help you quit smoking
FISH OIL,Supplement to help your heart
DEXTROMETHORPHAN/GUAIFENESIN,To help your cough
OLANZAPINE,"antipsychotics, or to help stabilize your mood"
METHADONE,for moderate to severe pain-narcotic pain reliever
TESTOSTERONE,To raise your testosterone levels
LORAZEPAM,Sedative or to reduce anxiety
TADALAFIL,for erections or sexual performance
METHYLPHENIDATE,To increase your energy or help you focus
PETROLATUM/MINERAL OIL,Moisturizer to help your skin
FLUCONAZOLE,To treat a fungal infection
SPIRONOLACTONE,For high blood pressure or to help get fluid off your body (water pill/diuretic)
PROPRANOLOL,For high blood pressure or to slow down your heart rate
BUPRENORPHINE/NALOXONE,for moderate to severe pain-narcotic pain reliever
ONDANSETRON,for nausea or vomiting
RIVAROXABAN,"Blood thinner, to prevent clots"
DORZOLAMIDE/TIMOLOL,For glaucoma (too much pressure in your eyes)
BRIMONIDINE,For glaucoma (too much pressure in your eyes)
ETODOLAC,Pain relief-nonsteroidal or NSAID
IPRATROPIUM,To help you breathe easier
THIAMINE,Vitamin or other supplement
HYDROCHLOROTHIAZIDE/TRIAMTERENE,For high blood pressure or to help get fluid off your body (water pill/diuretic)
CHLORTHALIDONE,For high blood pressure or to help get fluid off your body (water pill/diuretic)
MOMETASONE,to reduce inflammation in your nose or allergies
TIZANIDINE,Muscle relaxer
VALACYCLOVIR,"To treat a viral infection, sometimes hepatitis B or C"
LEVETIRACETAM,To prevent seizures (fits) or for nerve pain
ROSUVASTATIN,for your cholesterol
ACETAMINOPHEN/CODEINE,for moderate to severe pain-narcotic pain reliever
CLONIDINE,For your high blood pressure
LEVOFLOXACIN,antibiotic to treat an infection with bacteria
DOXYCYCLINE,antibiotic to treat an infection with bacteria
DILTIAZEM,For your high blood pressure
COLCHICINE,for your gout
CLINDAMYCIN,LINCOMYCINS
ACYCLOVIR,"To treat a viral infection, sometimes hepatitis B or C"
BENZONATATE,To help your cough
GEMFIBROZIL,for your cholesterol
SODIUM FLUORIDE,"CARIOSTATICS,TOPICAL"
PROMETHAZINE,"ANTIHISTAMINES,PHENOTHIAZINE"
MAGNESIUM OXIDE,To raise your magnesium levels
BISACODYL,to help with constipation or help you have a bowel movement
VARENICLINE,To help you quit smoking
PSYLLIUM,to help with constipation or help you have a bowel movement
CEPHALEXIN,antibiotic to treat an infection with bacteria
FENTANYL,for moderate to severe pain-narcotic pain reliever
CALCIUM/VITAMIN D,Vitamin or other supplement
ALBUTEROL/IPRATROPIUM,Long acting inhaler for asthma or COPD/emphysema to take every day
LIDOCAINE,"LOCAL ANESTHETICS,TOPICAL"
DONEPEZIL,To prevent seizures (fits) or for nerve pain
MEMANTINE,To prevent seizures (fits) or for nerve pain
NIACIN,Supplement to help your heart
MINERAL OIL/PETROLATUM,"For washing your eyes, or dry eyes"
MAGNESIUM CITRATE,to help with constipation or help you have a bowel movement
PNEUMOCOCCAL VACCINE,VACCINES
DIAZEPAM,Sedative or to reduce anxiety
MYCOPHENOLATE MOFETIL,IMMUNE SUPPRESSANTS
MULTIVITAMINS,Vitamin or other supplement
MUPIROCIN,To treat infection on your skin
MECLIZINE,For vertigo or dizziness
ZIPRASIDONE,"antipsychotics, or to help stabilize your mood"
LITHIUM,"To stabilize your mood, for bipolar disorder"
GLIMEPIRIDE,for your diabetes (high sugars)
FOSINOPRIL,For your high blood pressure
MULTIVITAMIN W/MINERALS,Vitamin or other supplement
INDOMETHACIN,Pain relief-nonsteroidal or NSAID
FERROUS GLUCONATE,"iron supplement, sometimes for anemia or low red blood cell counts"
NORTRIPTYLINE,for depression or to help you sleep better
ALPROSTADIL,PROSTAGLANDINS
LOPERAMIDE,to reduce diarrhea
FLUOCINONIDE,For a rash on your skin (reduce irritation or inflammation)
BENZTROPINE,PARASYMPATHOLYTICS
AMPHETAMINE RESIN COMPLEX,AMPHETAMINES
ROPINIROLE,To treat Parkinsons Disease
HYDROPHILIC PETROLATUM/MINERAL OIL,Moisturizer to help your skin
CALCITRIOL,Vitamin D supplement
NALTREXONE,To cancel the effects of narcotic drugs or alcohol
VALSARTAN,For your high blood pressure
LOVASTATIN,for your cholesterol
SODIUM BIPHOSPHATE/SODIUM PHOSPHATE,to help with constipation or help you have a bowel movement
DIATRIZOATE,IONIC CONTRAST MEDIA
DICYCLOMINE,PARASYMPATHOLYTICS
LURASIDONE,"antipsychotics, or to help stabilize your mood"
BARIUM SULFATE,NON-IONIC CONTRAST MEDIA
METHOTREXATE,"ANTINEOPLASTICS,ANTIMETABOLITES"
VERAPAMIL,For your high blood pressure
DOXAZOSIN,To reduce swelling in your prostate and help you urinate (use the bathroom)
MOXIFLOXACIN,antibiotic to treat an infection with bacteria
ENOXAPARIN,"Blood thinner, to prevent clots"
DOXEPIN,for depression or to help you sleep better
PHENYLEPHRINE,HEMORRHOIDAL PREPARATIONS WITHOUT STEROID
TACROLIMUS,To dandruff (dry flaky scalp) or psoriasis on your scalp
ASCORBIC ACID,VITAMIN C
CARBIDOPA/LEVODOPA,To treat Parkinsons Disease
CHLORHEXIDINE GLUCONATE,To treat infection on your skin
FORMOTEROL,Short acting inhaler for asthma or COPD/emphysema to use when you get short of breath
DEXTROAMPHETAMINE,AMPHETAMINES
MONTELUKAST,Long acting inhaler for asthma or COPD/emphysema to take every day
SIMETHICONE,to reduce stomach acid
ERYTHROMYCIN,antibiotic to treat an infection with bacteria
MICONAZOLE,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
CODEINE/GUAIFENESIN,OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS
FLUOROURACIL,"ANTINEOPLASTIC,TOPICAL"
DEXAMETHASONE/TOBRAMYCIN,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC"
DEXAMETHASONE/NEOMYCIN/POLYMYXIN B,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC"
POLYMYXIN B/TRIMETHOPRIM,"ANTI-INFECTIVE,TOPICAL OPHTHALMIC,OTHER"
MOISTURIZING LOTION,Moisturizer to help your skin
COBICISTAT/ELVITEGRAVIR/EMTRICITABINE/TENOFOVIR,"To treat a viral infection, sometimes hepatitis B or C"
HALOPERIDOL,"antipsychotics, or to help stabilize your mood"
GLUCOSE,If your sugar (glucose) gets too low
PRILOCAINE,"LOCAL ANESTHETICS,TOPICAL"
SELENIUM,SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS
CARBAMIDE PEROXIDE/GLYCERIN,CERUMINOLYTICS
NITROFURANTOIN,antibiotic to treat an infection with bacteria
TIMOLOL,For glaucoma (too much pressure in your eyes)
RITONAVIR,"To treat a viral infection, sometimes hepatitis B or C"
KETOTIFEN,"OPHTHALMICS,OTHER"
ATENOLOL/CHLORTHALIDONE,For your high blood pressure
LEDIPASVIR/SOFOSBUVIR,"To treat a viral infection, sometimes hepatitis B or C"
MELATONIN,Supplement to help you sleep
ACETAMINOPHEN/BUTALBITAL/CAFFEINE,for minor pains
EMTRICITABINE/TENOFOVIR,"To treat a viral infection, sometimes hepatitis B or C"
THROAT LOZENGE,Throat lozenge to relieve throat pain
EFAVIRENZ/EMTRICITABINE/TENOFOVIR,"To treat a viral infection, sometimes hepatitis B or C"
CYCLOSPORINE,IMMUNE SUPPRESSANTS
TRETINOIN,"ANTINEOPLASTIC,OTHER"
CARBAMAZEPINE,To prevent seizures (fits) or for nerve pain
BOOST,ENTERAL NUTRITION
ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE,"To treat a viral infection, sometimes hepatitis B or C"
CALCIUM CARBONATE,To help lower your phosphorus in your blood and help your kidneys
DEXAMETHASONE,"Steroids, to reduce inflammation (sometimes for COPD)"
PSEUDOEPHEDRINE,"DECONGESTANTS,SYSTEMIC"
SODIUM BICARBONATE,SODIUM BICARBONATE CONTAINING ANTACIDS
NYSTATIN,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
INV Med METFORMIN (GLUCOPHAGE 500MG) TAB,for your diabetes (high sugars)
EPINEPHRINE,SYMPATHOMIMETICS (ADRENERGICS)
GALANTAMINE,To prevent seizures (fits) or for nerve pain
DIGOXIN,DIGITALIS GLYCOSIDES
AMLODIPINE/BENAZEPRIL,For your high blood pressure
LEUPROLIDE,ANTINEOPLASTIC HORMONES
MESALAMINE,to reduce stomach acid
BUMETANIDE,Water pill (diuretic to get fluid off of your body)
NALOXONE,To cancel the effects of narcotic drugs or alcohol
LACTULOSE,to help with constipation or help you have a bowel movement
CARRINGTON,"DERMATOLOGICALS,TOPICAL OTHER"
SUCRALFATE,"PROTECTANTS,ULCER"
ADALIMUMAB,"ANTIRHEUMATICS,OTHER"
PHENAZOPYRIDINE,"ANALGESICS,URINARY"
ALENDRONATE,"HORMONES/SYNTHETICS/MODIFIERS,OTHER"
TORSEMIDE,Water pill (diuretic to get fluid off of your body)
PALIPERIDONE,"antipsychotics, or to help stabilize your mood"
PENICILLIN,antibiotic to treat an infection with bacteria
ENALAPRIL,For your high blood pressure
DIBUCAINE,"LOCAL ANESTHETICS,TOPICAL"
PRIMIDONE,To prevent seizures (fits) or for nerve pain
AMPHETAMINE/DEXTROAMPHETAMINE,AMPHETAMINES
CLOZAPINE (MYLAN),"antipsychotics, or to help stabilize your mood"
ESTROGENS,"ESTROGENS,VAGINAL"
MINOCYCLINE,antibiotic to treat an infection with bacteria
POVIDONE IODINE,To treat infection on your skin
ATAZANAVIR,"To treat a viral infection, sometimes hepatitis B or C"
DABIGATRAN,"Blood thinner, to prevent clots"
BICALUTAMIDE,"ANTINEOPLASTIC,OTHER"
HYDROXYCHLOROQUINE,ANTIMALARIALS
CHOLESTYRAMINE,for your cholesterol
HYDROMORPHONE,for moderate to severe pain-narcotic pain reliever
BRIMONIDINE/BRINZOLAMIDE,For glaucoma (too much pressure in your eyes)
SULINDAC,Pain relief-nonsteroidal or NSAID
METOLAZONE,For high blood pressure or to help get fluid off your body (water pill/diuretic)
LANTHANUM,To help lower your phosphorus in your blood and help your kidneys
MODAFINIL,"CNS STIMULANTS,OTHER"
TOLNAFTATE,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
EZETIMIBE,for your cholesterol
PHENYTOIN,To prevent seizures (fits) or for nerve pain
LACTOBACILLUS,to reduce diarrhea
ASPIRIN/DIPYRIDAMOLE,To protect the blood vessels in your heart or brain from clots
FENOFIBRATE,for your cholesterol
CHLORDIAZEPOXIDE,Sedative or to reduce anxiety
AMYLASE/LIPASE/PROTEASE,to help digest food (pancreas supplement)
AMIODARONE,ANTIARRHYTHMICS
ABACAVIR/LAMIVUDINE,"To treat a viral infection, sometimes hepatitis B or C"
BACITRACIN,To treat infection on your skin
MEDROXYPROGESTERONE,PROGESTINS
KETOROLAC TROMETHAMINE,Pain relief-nonsteroidal or NSAID
CALCIUM ACETATE,To help lower your phosphorus in your blood and help your kidneys
DARUNAVIR,"To treat a viral infection, sometimes hepatitis B or C"
NIACINAMIDE,Supplement to help your heart
CLARITHROMYCIN,antibiotic to treat an infection with bacteria
AZATHIOPRINE,IMMUNE SUPPRESSANTS
OXYMETAZOLINE,"DECONGESTANTS,NASAL"
ALUMINUM HYDROXIDE/MAGNESIUM HYDROXIDE/SIMETHICONE,"ANTACIDS,OTHER"
PIOGLITAZONE,for your diabetes (high sugars)
ATROPINE/DIPHENOXYLATE,to reduce diarrhea
RALTEGRAVIR,"To treat a viral infection, sometimes hepatitis B or C"
ACETAZOLAMIDE,CARBONIC ANHYDRASE INHIBITOR DIURETICS
CHLORPROMAZINE,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
METHAZOLAMIDE,CARBONIC ANHYDRASE INHIBITOR DIURETICS
GENTIAN VIOLET,To treat infection on your skin
IMATINIB,"ANTINEOPLASTIC,OTHER"
VALPROIC ACID,To prevent seizures (fits) or for nerve pain
FLUNISOLIDE,to reduce inflammation in your nose or allergies
DOLUTEGRAVIR,"To treat a viral infection, sometimes hepatitis B or C"
MERCAPTOPURINE,"ANTINEOPLASTICS,ANTIMETABOLITES"
ESTRADIOL,"ESTROGENS,VAGINAL"
HAMAMELIS WATER,"DERMATOLOGICALS,TOPICAL OTHER"
MAGIC MOUTHWASH (OZ),"NASAL AND THROAT,TOPICAL,OTHER"
HEPATITIS B VACCINE,VACCINES
SUNSCREEN PABA-FREE,"SUN PROTECTANTS/SCREENS,TOPICAL"
ZINC OXIDE,"DERMATOLOGICALS,TOPICAL OTHER"
CAMPHOR/MENTHOL,pain relief cream to put on your skin
WAFER,"PROTECTANTS,SKIN,OSTOMY"
HYDROCORTISONE/PRAMOXINE,HEMORRHOIDAL PREPARATIONS WITH STEROID
HYDROCORTISONE/NEOMYCIN/POLYMYXIN B,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OTIC"
METOCLOPRAMIDE,PARASYMPATHOMIMETICS (CHOLINERGICS)
MEGESTROL,PROGESTINS
ELECTROLYTES/PEG-3350,to help with constipation or help you have a bowel movement
POTASSIUM CITRATE,CITRATES
CILOSTAZOL,To help open your blood vessels and improve your blood flow/circulation (for claudication)
BENZOYL PEROXIDE/ERYTHROMYCIN,"ANTIACNE AGENTS,TOPICAL"
OLODATEROL,Short acting inhaler for asthma or COPD/emphysema to use when you get short of breath
CIPROFLOXACIN/DEXAMETHASONE,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OTIC"
ETHINYL ESTRADIOL/LEVONORGESTREL,"CONTRACEPTIVES,SYSTEMIC"
CADEXOMER IODINE,To treat infection on your skin
HYDROQUINONE,"DERMATOLOGICALS,TOPICAL OTHER"
TRAVOPROST,For glaucoma (too much pressure in your eyes)
CARBOXYMETHYLCELLULOSE SODIUM,"For washing your eyes, or dry eyes"
BENZOYL PEROXIDE,"ANTIACNE AGENTS,TOPICAL"
DORZOLAMIDE,For glaucoma (too much pressure in your eyes)
SALICYLIC ACID,"KERATOLYTICS/CAUSTICS,TOPICAL"
TENOFOVIR,"To treat a viral infection, sometimes hepatitis B or C"
SEVELAMER CARBONATE,for erections or sexual performance
RAMELTEON,SEDATIVES/HYPONTICS
LANSOPRAZOLE,to reduce stomach acid
HEPATITIS A/HEPATITIS B VACCINE,VACCINES
INV Med VIT D3/PLACEBO 4000IU SOFT GEL,INVESTIGATIONAL AGENTS
INV Med GLARGINE(LANTUS) INJ 100 UNT/ML,INVESTIGATIONAL AGENTS
BACITRACIN/POLYMYXIN B,To treat infection on your skin
FLUOCINOLONE,For a rash on your skin (reduce irritation or inflammation)
DASABUVIR/OMBITASVIR/PARITAPREVIR/RITONAVIR,"To treat a viral infection, sometimes hepatitis B or C"
PYRIDOXINE,Vitamin or other supplement
PERPHENAZINE,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
METHIMAZOLE,ANTITHYROID AGENTS
SALSALATE,"SALICYLATES,ANTIRHEUMATIC"
SITAGLIPTIN,for your diabetes (high sugars)
ESZOPICLONE,To help you sleep
ONABOTULINUMTOXINA,"MUSCULOSKELETAL AGENTS,OTHER"
OFLOXACIN,antibiotic to treat an infection with bacteria
CROMOLYN,"OPHTHALMICS,OTHER"
PETROLATUM,Moisturizer to help your skin
CEFUROXIME,CEPHALOSPORIN 2ND GENERATION
RIBAVIRIN,"To treat a viral infection, sometimes hepatitis B or C"
GEL WOUND DRESSING 1 OZ,"DERMATOLOGICALS,TOPICAL OTHER"
APIXABAN,"Blood thinner, to prevent clots"
RANOLAZINE,To reduce chest pain or angina
BALSALAZIDE,to reduce stomach acid
OSELTAMIVIR,"To treat a viral infection, sometimes hepatitis B or C"
LENALIDOMIDE,"IMMUNOLOGICAL AGENTS,OTHER"
FLUPHENAZINE,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
BUDESONIDE,to reduce inflammation in your nose or allergies
EPLERENONE,For high blood pressure or to help get fluid off your body (water pill/diuretic)
FEBUXOSTAT,for your gout
LEVOBUNOLOL,For glaucoma (too much pressure in your eyes)
VITAMIN E,VITAMIN E
SILVER SULFADIAZINE,To treat infection on your skin
BISOPROLOL,For high blood pressure or to slow down your heart rate
CINACALCET,"HORMONES/SYNTHETICS/MODIFIERS,OTHER"
ETHINYL ESTRADIOL/NORGESTIMATE,"CONTRACEPTIVES,SYSTEMIC"
LOXAPINE,"antipsychotics, or to help stabilize your mood"
INHALER ADAPTER,PROSTHETICS/SUPPLIES/DEVICES
SODIUM POLYSTYRENE SULFONATE,"ANTIDOTES,DETERRENTS,AND POISON CONTROL EXCHANGE RESINS"
ENZALUTAMIDE,"ANTINEOPLASTIC,OTHER"
FLECAINIDE,ANTIARRHYTHMICS
HYDROXYUREA,"ANTINEOPLASTICS,ANTIMETABOLITES"
BARRIER,"PROTECTANTS,SKIN,OSTOMY"
FOAM SKIN AND PERINEAL CLEANSER 8OZ,*Missing*
LISDEXAMFETAMINE,AMPHETAMINES
COAL TAR,To dandruff (dry flaky scalp) or psoriasis on your scalp
VITAMIN A/VITAMIN D,Moisturizer to help your skin
ZINC OXIDE 2% CREAM (SELAN EQUIV),"PROTECTANTS,SKIN,OSTOMY"
PSEUDOEPHEDRINE/TRIPROLIDINE,ANTIHISTAMINE/DECONGESTANT
ISONIAZID,ANTITUBERCULARS
ZOLMITRIPTAN,For migraine headaches
ATROPINE,"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC"
PERMETHRIN,PEDICULICIDES
PAZOPANIB,"ANTINEOPLASTIC,OTHER"
CLOBAZAM,To prevent seizures (fits) or for nerve pain
ACITRETIN,"ANTIPSORIATICS,SYSTEMIC"
ABIRATERONE,ANTINEOPLASTIC HORMONES
DESONIDE,For a rash on your skin (reduce irritation or inflammation)
AMILORIDE,For high blood pressure or to help get fluid off your body (water pill/diuretic)
ACETIC ACID/ALUMINUM ACETATE,"ANTI-INFECTIVES,TOPICAL OTIC OTHER"
SOFOSBUVIR,"To treat a viral infection, sometimes hepatitis B or C"
INV Med EXENATIDE DILUENT FOR SUSPENSION,INVESTIGATIONAL AGENTS
DOXYCYCLINE HYCLATE 100MG CAP/TAB,antibiotic to treat an infection with bacteria
ACARBOSE,for your diabetes (high sugars)
CALCIPOTRIENE,To dandruff (dry flaky scalp) or psoriasis on your scalp
ZINC SULFATE,ZINC
HEPATITIS A VACCINE,VACCINES
ETHINYL ESTRADIOL/NORETHINDRONE,"CONTRACEPTIVES,SYSTEMIC"
ENTACAPONE,To treat Parkinsons Disease
METHYLPREDNISOLONE,"Steroids, to reduce inflammation (sometimes for COPD)"
PROCHLORPERAZINE,for nausea or vomiting
ISOSORBIDE DINITRATE,To reduce chest pain or angina
INFLUENZA VACCINE,VACCINES
PILOCARPINE,PARASYMPATHOMIMETICS (CHOLINERGICS)
SOTALOL,For high blood pressure or to slow down your heart rate
ASPIRIN/BUTALBITAL/CAFFEINE,for minor pains
IMIQUIMOD,"IMMUNOLOGICAL AGENTS,OTHER"
BUPRENORPHINE,for moderate to severe pain-narcotic pain reliever
SULFASALAZINE,to reduce stomach acid
RIFAXIMIN,"ANTI-INFECTIVES,OTHER"
DISULFIRAM,ALCOHOL DETERRENTS
EMTRICITABINE/RILPIVIRINE/TENOFOVIR,"To treat a viral infection, sometimes hepatitis B or C"
MIDODRINE,To help open your blood vessels and improve your blood flow/circulation (for claudication)
CYCLOPENTOLATE,"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC"
DACLATASVIR,"To treat a viral infection, sometimes hepatitis B or C"
"INV Med LIRAGLUTIDE(VICTOZA) 6MG/1ML,PEN",INVESTIGATIONAL ANTI-BACTERIAL DRUGS
VARDENAFIL,for erections or sexual performance
LAMIVUDINE,"To treat a viral infection, sometimes hepatitis B or C"
ATOMOXETINE,To prevent seizures (fits) or for nerve pain
CLOMIPRAMINE,for depression or to help you sleep better
INV Med ACETYLCYSTEINE 300MG/PLACEBO CAP,INVESTIGATIONAL AGENTS
ESOMEPRAZOLE,to reduce stomach acid
INV METFORMIN*ER*(GLUCOPHAGE XR)500MG TA,for your diabetes (high sugars)
LEFLUNOMIDE,"ANTIRHEUMATICS,OTHER"
GOSERELIN ACETATE,ANTINEOPLASTIC HORMONES
SKIN PROTECTIVE,"DERMATOLOGICALS,TOPICAL OTHER"
AZELASTINE,"ANTIHISTAMINES,NASAL"
CEFPODOXIME PROXETIL,CEPHALOSPORIN 3RD GENERATION
GLATIRAMER,"MUSCULOSKELETAL AGENTS,OTHER"
ISOTRETINOIN 20MG CAP,"ANTIACNE AGENTS,SYSTEMIC"
IBRUTINIB,"ANTINEOPLASTIC,OTHER"
ETHINYL ESTRADIOL/ETONOGESTREL,"CONTRACEPTIVES,SYSTEMIC"
OXCARBAZEPINE,To prevent seizures (fits) or for nerve pain
NORETHINDRONE,PROGESTINS
INV Med ALBIGLUTIDE 30/50MG/PLACEBO INJ,INVESTIGATIONAL AGENTS
INV Med EXENATIDE 2MG VL/PLACEBO,INVESTIGATIONAL AGENTS
NEOMYCIN,AMINOGLYCOSIDES
OSMOLITE,ENTERAL NUTRITION
MAGNESIUM HYDROXIDE,MAGNESIUM CONTAINING ANTACIDS
INDAPAMIDE,For high blood pressure or to help get fluid off your body (water pill/diuretic)
ALUMINUM CHLORIDE,"DEODORANTS/ANTIPERSPIRANTS,TOPICAL"
"TUBERCULIN,PURIFIED PROTEIN DERIVATIVE",DIAGNOSTIC ANTIGENS
COLLAGENASE,"DERMATOLOGICALS,TOPICAL OTHER"
